epoch,loss,val_loss
0,0.042902871966362,0.0466667115688324
1,0.01690661534667015,0.044753458350896835
2,0.01364445872604847,0.04216262698173523
3,0.011126573197543621,0.03837836906313896
4,0.009644951671361923,0.033001113682985306
5,0.0087710190564394,0.02986558899283409
6,0.008193640038371086,0.025372091680765152
7,0.0073079317808151245,0.026205185800790787
8,0.00695086969062686,0.01620243489742279
9,0.007042210549116135,0.015860384330153465
10,0.006673904601484537,0.01011660322546959
11,0.007129420060664415,0.009091530926525593
12,0.006124622654169798,0.0067310337908566
13,0.005991250276565552,0.00586094381287694
14,0.005810139700770378,0.006161741446703672
15,0.005538302473723888,0.007495530880987644
16,0.00583953782916069,0.0060484763234853745
17,0.005484802648425102,0.005986441392451525
18,0.005179434083402157,0.005457290448248386
19,0.005416971165686846,0.005436955019831657
20,0.005083301570266485,0.00547703867778182
21,0.0045774467289447784,0.0051057771779596806
22,0.004558756481856108,0.005081441253423691
23,0.004450283478945494,0.0050367689691483974
24,0.004299183841794729,0.004993675276637077
25,0.00429178960621357,0.005048824939876795
26,0.004274770617485046,0.00514380494132638
27,0.004343340639024973,0.0050508310087025166
28,0.004038683604449034,0.004854443017393351
29,0.004082967061549425,0.006369156762957573
30,0.004037442151457071,0.005116288550198078
31,0.004262915346771479,0.005676851607859135
32,0.003726675407961011,0.00503457011654973
33,0.0037169174756854773,0.00471462681889534
34,0.003566122381016612,0.00481025455519557
35,0.003296177601441741,0.004548068158328533
36,0.003392485436052084,0.004781185649335384
37,0.003624388249590993,0.004873780999332666
38,0.003350757760927081,0.004827501717954874
39,0.0034323562867939472,0.004796622786670923
40,0.003177524311468005,0.0046655344776809216
41,0.003143074456602335,0.004739804659038782
42,0.0031970159616321325,0.004739932715892792
43,0.0031118220649659634,0.004853817168623209
44,0.0032237370032817125,0.004771053325384855
45,0.0030496520921587944,0.00461059482768178
46,0.0029711066745221615,0.004670302849262953
47,0.0028643719851970673,0.004682252649217844
48,0.0030697414185851812,0.004864247050136328
49,0.0028901586774736643,0.004803480114787817
